Frame,Body_Angle_deg,Leg_Stretch_Ratio
613,66.262,0.603
613,93.562,0.452
614,74.083,0.617
614,91.817,0.459
615,74.27,0.618
615,91.956,0.46
616,75.643,0.597
616,87.842,0.427
617,79.484,0.565
617,86.883,0.434
618,82.628,0.658
618,88.975,0.449
619,83.016,0.629
619,89.113,0.442
620,86.04,0.633
620,85.781,0.446
621,84.253,0.636
621,85.802,0.446
622,93.469,0.64
622,86.743,0.437
623,89.589,0.621
623,87.902,0.443
624,89.755,0.589
624,85.027,0.395
625,92.412,0.583
625,90.413,0.443
626,94.245,0.651
626,85.135,0.42
627,94.277,0.651
627,84.959,0.42
628,97.75,0.547
628,82.676,0.394
629,94.967,0.56
629,83.059,0.383
630,95.882,0.561
630,85.957,0.344
631,94.292,0.561
631,84.898,0.385
632,90.432,0.6
632,81.069,0.386
633,90.442,0.6
633,80.942,0.386
634,89.17,0.629
634,74.079,0.376
635,88.032,0.584
635,70.728,0.435
636,86.452,0.58
636,67.649,0.471
637,83.897,0.557
637,73.045,0.448
638,83.256,0.579
638,82.858,0.442
639,83.263,0.578
639,82.73,0.442
640,84.891,0.539
640,85.419,0.413
641,82.511,0.528
641,92.222,0.428
641,91.188,0.429
642,81.837,0.55
642,91.738,0.403
643,81.634,0.564
643,90.477,0.453
644,82.775,0.566
644,91.194,0.469
645,82.778,0.566
645,91.218,0.469
646,83.846,0.549
646,95.079,0.497
647,83.173,0.55
647,96.583,0.461
648,81.301,0.526
648,104.695,0.465
649,78.965,0.581
649,98.869,0.466
650,77.546,0.655
650,99.235,0.477
651,77.534,0.656
651,99.175,0.477
652,78.069,0.646
652,94.75,0.451
653,78.18,0.576
653,107.059,0.466
654,83.974,0.619
654,98.679,0.428
655,84.207,0.625
655,94.898,0.38
656,92.547,0.723
656,97.425,0.343
657,92.574,0.724
657,97.37,0.343
658,97.512,0.584
658,94.796,0.357
659,101.225,0.538
659,90.558,0.328
660,105.766,0.538
660,97.405,0.334
661,107.021,0.582
661,107.551,0.347
662,110.135,0.578
662,108.735,0.43
663,106.864,0.605
663,108.647,0.431
664,107.745,0.576
664,103.422,0.448
665,108.767,0.594
665,99.644,0.345
666,106.704,0.603
666,98.449,0.348
667,106.698,0.594
667,98.715,0.386
668,104.867,0.6
668,91.374,0.391
669,104.848,0.6
669,91.614,0.391
670,104.232,0.609
670,94.219,0.408
671,101.04,0.618
671,95.579,0.388
672,99.778,0.611
672,89.014,0.411
673,103.254,0.581
673,96.593,0.378
674,103.275,0.606
674,95.426,0.407
675,103.241,0.607
675,95.319,0.408
676,99.443,0.609
