frame,x,y
910,1105.0,855.25
911,1098.0,855.75
912,1092.0,856.25
913,1090.0,857.75
914,1091.0,861.25
915,1091.0,861.5
916,1092.0,864.75
917,1091.0,865.75
918,1084.0,865.5
919,1075.0,866.0
920,1062.0,865.25
921,1057.0,864.25
922,1053.0,862.75
923,1051.0,860.5
924,1049.0,860.5
925,1048.0,860.75
926,1048.0,861.5
927,1048.0,861.5
928,1045.0,860.75
929,1042.0,862.25
930,1039.0,862.5
931,1038.0,861.25
932,1036.0,860.0
933,1035.0,858.75
934,1032.0,855.5
935,1028.0,850.5
936,1024.0,848.25
937,1020.0,846.0
938,1018.0,844.5
939,1017.0,844.75
940,1016.0,843.75
941,1016.0,841.25
942,1017.0,838.25
943,1018.0,834.25
944,1017.0,830.0
945,1017.0,828.75
946,1016.0,825.5
947,1015.0,820.0
948,1012.0,819.5
949,1004.0,818.0
950,1001.0,816.25
951,1000.0,815.5
952,1001.0,816.5
953,1001.0,820.5
954,1001.0,825.0
955,1003.0,828.0
956,1003.0,829.5
957,1003.0,830.5
958,998.0,831.75
959,990.0,830.0
960,973.0,828.5
961,971.0,828.25
962,959.0,828.5
963,955.0,828.5
964,932.0,826.75
965,918.0,826.5
966,883.0,826.5
967,861.0,826.75
968,845.0,826.0
969,840.0,826.5
970,827.0,825.5
971,811.0,823.25
972,801.0,821.0
973,790.0,819.0
974,779.0,817.0
975,775.0,816.5
976,768.0,815.75
977,756.0,815.0
978,730.0,813.0
979,727.0,810.5
980,714.0,811.25
981,709.0,811.75
982,704.0,812.75
983,693.0,802.25
984,688.0,799.25
985,683.0,796.0
986,688.0,803.75
987,690.0,806.75
988,691.0,806.5
989,691.0,805.75
990,692.0,807.0
991,690.0,808.75
992,688.0,808.75
993,687.0,808.75
994,687.0,810.0
995,687.0,811.25
996,687.0,810.75
997,684.0,809.25
998,679.0,805.5
999,678.0,804.75
1000,677.0,806.25
1001,679.0,806.0
1002,681.0,805.5
1003,682.0,803.25
1004,686.0,800.75
1005,688.0,799.0
1006,693.0,799.0
1007,697.0,796.25
1008,706.0,795.5
1009,711.0,794.5
1010,713.0,793.25
1011,714.0,792.5
1012,720.0,791.5
1013,732.0,791.75
1014,750.0,792.5
1015,770.0,792.0
1016,790.0,792.5
1017,798.0,793.25
1018,812.0,793.0
1019,823.0,796.5
1020,826.0,801.0
1021,831.0,804.5
1022,843.0,807.0
1023,847.0,807.75
1024,853.0,811.0
1025,863.0,815.5
1026,878.0,815.25
1027,887.0,817.5
1028,898.0,817.75
1029,901.0,817.75
1030,907.0,821.25
1031,924.0,830.75
1032,930.0,835.0
1033,949.0,838.0
1034,966.0,839.75
1035,972.0,841.25
1036,992.0,840.25
